VIN: 
MAKE: 
MODEL: 
SERIAL NUMBER: 
UNIT NUMBER: 
DISPLAY DATE CODE: 170620201245
DATE DOWNLOADED(DD/MM/YYYY): 17/6/2020
"ID","Time","Type","Priority","Data Page","Reserved","PDU-F","PDU-S","Source Address","PGN","Abbr","PID","Data Length","Byte 0","Byte 1","Byte 2","Byte 3","Byte 4","Byte 5","Byte 6","Byte 7"
"18","1592375122.994940","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"19","1592375122.994940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"20","1592375122.994940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"21","1592375123.016940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"22","1592375123.016940","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"23","1592375123.016940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x17,0x63,0x00,0x00,0x00,0x00
"24","1592375123.038940","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"25","1592375123.038940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"26","1592375123.038940","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"27","1592375123.038940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"28","1592375123.060940","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"29","1592375123.060940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"30","1592375123.060940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"31","1592375123.060940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"32","1592375123.082940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1E,0x63,0x00,0x00,0x00,0x00
"33","1592375123.082940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"34","1592375123.104940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x06,0x00,0xFF
"35","1592375123.104940","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"36","1592375123.104940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"37","1592375123.104940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"38","1592375123.104940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"39","1592375123.126940","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"40","1592375123.126940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x21,0x63,0x00,0x00,0x00,0x00
"41","1592375123.126940","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"42","1592375123.126940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"43","1592375123.148940","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"44","1592375123.148940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"45","1592375123.148940","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"46","1592375123.148940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"47","1592375123.148940","29-bit","3","0","0","0xF0","0x29","0xC9","0xF029","","0x0CF029C9","8",0x00,0x80,0x7E,0xCC,0x4C,0x5F,0xFF,0xFF
"48","1592375123.148940","29-bit","3","0","0","0xFF","0xC9","0xC9","0xFFC9","","0x0CFFC9C9","8",0x66,0x26,0x8C,0xFF,0xFF,0xFF,0xFF,0xFF
"49","1592375123.148940","29-bit","3","0","0","0xFF","0x0F","0xC9","0xFF0F","","0x0CFF0FC9","8",0xB1,0xD6,0x41,0x01,0xFF,0xFF,0xFF,0xFF
"50","1592375123.148940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"51","1592375123.170940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"52","1592375123.170940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1F,0x63,0x00,0x00,0x00,0x00
"53","1592375123.192940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"54","1592375123.192940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x07,0x00,0xFF
"55","1592375123.192940","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"56","1592375123.192940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"57","1592375123.214940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"58","1592375123.214940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"59","1592375123.214940","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"60","1592375123.214940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1A,0x63,0x00,0x00,0x00,0x00
"61","1592375123.236940","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"62","1592375123.236940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x01,0x0D,0x01,0xFF,0xFF,0xFC,0xFF
"63","1592375123.236940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"64","1592375123.236940","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"65","1592375123.236940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"66","1592375123.258940","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"67","1592375123.258940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"68","1592375123.258940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"69","1592375123.258940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"70","1592375123.280940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1E,0x63,0x00,0x00,0x00,0x00
"71","1592375123.280940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x02,0x0D,0x01,0xFF,0xFF,0xFC,0xFF
"72","1592375123.280940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"73","1592375123.302940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x06,0x00,0xFF
"74","1592375123.302940","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"75","1592375123.302940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"76","1592375123.302940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"77","1592375123.324940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"78","1592375123.324940","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"79","1592375123.324940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1E,0x63,0x00,0x00,0x00,0x00
"80","1592375123.324940","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"81","1592375123.324940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x03,0x0D,0x01,0xFF,0xFF,0xFC,0xFF
"82","1592375123.346940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"83","1592375123.346940","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"84","1592375123.346940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"85","1592375123.346940","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"86","1592375123.346940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"87","1592375123.346940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"88","1592375123.368940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"89","1592375123.368940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1D,0x63,0x00,0x00,0x00,0x00
"90","1592375123.390940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x04,0x1A,0x00,0xFF,0xFF,0xFC,0xFF
"91","1592375123.390940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"92","1592375123.390940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x06,0x00,0xFF
"93","1592375123.390940","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"94","1592375123.412940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"95","1592375123.412940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"96","1592375123.412940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"97","1592375123.412940","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"98","1592375123.434940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1A,0x63,0x00,0x00,0x00,0x00
"99","1592375123.434940","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"100","1592375123.434940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x05,0x7F,0x01,0xFF,0xFF,0xFC,0xFF
"101","1592375123.434940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"102","1592375123.434940","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"103","1592375123.456940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"104","1592375123.456940","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"105","1592375123.456940","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"106","1592375123.456940","29-bit","3","0","0","0xF0","0x29","0xC9","0xF029","","0x0CF029C9","8",0x00,0x80,0x7E,0xCC,0x4C,0x5F,0xFF,0xFF
"107","1592375123.456940","29-bit","3","0","0","0xFF","0xC9","0xC9","0xFFC9","","0x0CFFC9C9","8",0x66,0x26,0x8C,0xFF,0xFF,0xFF,0xFF,0xFF
"108","1592375123.456940","29-bit","3","0","0","0xFF","0x0F","0xC9","0xFF0F","","0x0CFF0FC9","8",0xB1,0xD6,0x41,0x01,0xFF,0xFF,0xFF,0xFF
"109","1592375123.456940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"110","1592375123.478940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"111","1592375123.478940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x14,0x63,0x00,0x00,0x00,0x00
"112","1592375123.478940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x06,0x0D,0x01,0xFF,0xFF,0xFC,0xFF
"113","1592375123.478940","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"114","1592375123.500939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x07,0x00,0xFF
"115","1592375123.500939","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"116","1592375123.500939","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"117","1592375123.500939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"118","1592375123.522939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"119","1592375123.522939","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"120","1592375123.522939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x15,0x63,0x00,0x00,0x00,0x00
"121","1592375123.522939","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"122","1592375123.544939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x07,0x0D,0x01,0xFF,0xFF,0xFC,0xFF
"123","1592375123.544939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"124","1592375123.544939","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"125","1592375123.544939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"126","1592375123.544939","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"127","1592375123.544939","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"128","1592375123.566939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"129","1592375123.566939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"130","1592375123.588939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x21,0x63,0x00,0x00,0x00,0x00
"131","1592375123.588939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x08,0x0D,0x01,0xFF,0xFF,0xFC,0xFF
"132","1592375123.588939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"133","1592375123.588939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x06,0x00,0xFF
"134","1592375123.610939","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"135","1592375123.610939","29-bit","6","0","0","0xFF","0x03","0xE2","0xFF03","","0x18FF03E2","8",0x6D,0x02,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"136","1592375123.610939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"137","1592375123.610939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"138","1592375123.610939","29-bit","6","0","0","0xFF","0x00","0xE2","0xFF00","","0x18FF00E2","8",0x7B,0x03,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"139","1592375123.632939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x20,0x63,0x00,0x00,0x00,0x00
"140","1592375123.632939","29-bit","6","0","0","0xFF","0x01","0xE2","0xFF01","","0x18FF01E2","8",0xBD,0x01,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"141","1592375123.632939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x09,0x7F,0x01,0xFF,0xFF,0xFC,0xFF
"142","1592375123.632939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"143","1592375123.632939","29-bit","6","0","0","0xFF","0x02","0xE2","0xFF02","","0x18FF02E2","8",0xB5,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"144","1592375123.654939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x85,0x00,0x00,0x00,0x00,0x00,0x00,0xFF
"145","1592375123.654939","29-bit","6","0","0","0xFF","0xAA","0x20","0xFFAA","","0x18FFAA20","8",0x50,0x22,0x02,0x00,0x00,0x00,0x00,0x00
"146","1592375123.654939","29-bit","6","0","0","0xFF","0x04","0xE2","0xFF04","","0x18FF04E2","8",0xB3,0x00,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
"147","1592375123.654939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x80,0x00,0x02,0x00,0x37,0x00,0xFF,0x03
"148","1592375123.676939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x81,0x00,0x00,0x00,0x00,0x00,0x00,0x00
"149","1592375123.676939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x82,0xFF,0x1A,0x63,0x00,0x00,0x00,0x00
"150","1592375123.698939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x86,0x0A,0x7F,0x01,0xFF,0xFF,0xFC,0xFF
"151","1592375123.698939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x83,0xFF,0x3E,0x75,0x00,0x00,0x00,0x00
"152","1592375123.698939","29-bit","5","0","0","0xEF","0x11","0x1E","0xEF00","","0x14EF111E","8",0x84,0x00,0x00,0x00,0x00,0x06,0x00,0xFF
